"Job ID","Description","State","Start Time","Elapsed Time","User"
"train_aks-cc603305c63d4608b2a4e5386667ac79","train-3","Success","6/15/2022","53 s"," huandinh2022"
"train_aks-295abf018a46452cb076b6f7a971dbf5","compress-1","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-295abf018a46452cb076b6f7a971dbf5","RB-FEA","Solve","Success","2 m, 24 s"," huandinh2022"
"train_aks-295abf018a46452cb076b6f7a971dbf5","compress-2","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-295abf018a46452cb076b6f7a971dbf5","train-3","Success","6/15/2022","2 m, 12 s"," huandinh2022"
"train_aks-71df1b24759149be9673f104d38e02ae","compress-1","Success","6/15/2022","0 s"," huandinh2022"
"train_aks-71df1b24759149be9673f104d38e02ae","RB-FEA","Solve","Success","1 m, 1 s"," huandinh2022"
"train_aks-71df1b24759149be9673f104d38e02ae","compress-2","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-71df1b24759149be9673f104d38e02ae","train-3","Success","6/15/2022","52 s"," huandinh2022"
"train_aks-50db31cc5e2942d3be9f510a39a34931","compress-1","Success","6/15/2022","1 s"," huandinh2022"
"train_aks-50db31cc5e2942d3be9f510a39a34931","RB-FEA","Solve","Success","2 m, 18 s"," huandinh2022"
"train_aks-50db31cc5e2942d3be9f510a39a34931","compress-2","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-50db31cc5e2942d3be9f510a39a34931","train-3","Success","6/15/2022","2 m, 8 s"," huandinh2022"
"train_aks-1ab9977479684c4392e44d491d502ecb","compress-1","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-1ab9977479684c4392e44d491d502ecb","RB-FEA","Solve","Success","60 s"," huandinh2022"
"train_aks-1ab9977479684c4392e44d491d502ecb","compress-2","Success","6/15/2022","1 s"," huandinh2022"
"train_aks-1ab9977479684c4392e44d491d502ecb","train-3","Success","6/15/2022","52 s"," huandinh2022"
"train_aks-5dd5091029584f12a9f6d497fff30ad9","compress-1","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-5dd5091029584f12a9f6d497fff30ad9","RB-FEA","Solve","Success","2 m, 21 s"," huandinh2022"
"train_aks-5dd5091029584f12a9f6d497fff30ad9","compress-2","Success","6/15/2022","1 s"," huandinh2022"
"train_aks-5dd5091029584f12a9f6d497fff30ad9","train-3","Success","6/15/2022","2 m, 10 s"," huandinh2022"
"train_aks-fa1ff2f594344c3faf3e8be7429946d4","compress-1","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-fa1ff2f594344c3faf3e8be7429946d4","RB-FEA","Solve","Success","60 s"," huandinh2022"
"train_aks-fa1ff2f594344c3faf3e8be7429946d4","compress-2","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-fa1ff2f594344c3faf3e8be7429946d4","train-3","Success","6/15/2022","50 s"," huandinh2022"
"train_aks-0a0c9bf1f43d40309b5b49fb49c17d05","compress-1","Success","6/15/2022","0 s"," huandinh2022"
"train_aks-0a0c9bf1f43d40309b5b49fb49c17d05","RB-FEA","Solve","Success","1 m, 49 s"," huandinh2022"
"train_aks-0a0c9bf1f43d40309b5b49fb49c17d05","compress-2","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-0a0c9bf1f43d40309b5b49fb49c17d05","train-3","Success","6/15/2022","1 m, 37 s"," huandinh2022"
"train_aks-e46846d4488d448db304f308742fdead","compress-1","Success","6/15/2022","1 s"," huandinh2022"
"train_aks-e46846d4488d448db304f308742fdead","RB-FEA","Solve","Success","2 m, 22 s"," huandinh2022"
"train_aks-e46846d4488d448db304f308742fdead","compress-2","Success","6/15/2022","1 s"," huandinh2022"
